City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
47,okhotsk,59.3833,143.3,0.65,74,100,3.71,RU,1728236177
48,cabo san lucas,22.8909,-109.9124,33.17,54,0,1.79,MX,1728235987
49,enewetak,11.3474,162.3373,27.58,78,96,2.86,MH,1728236177
50,olyokminsk,60.3736,120.4264,-0.38,80,93,6.2,RU,1728236177
51,hammerfest,70.6634,23.6821,2.25,87,75,3.6,NO,1728236177
52,port alfred,-33.5906,26.891,20.1,89,41,1.79,ZA,1728236177
53,saint-pierre,-21.3393,55.4781,19.82,64,20,2.57,RE,1728236178
54,laguna,38.421,-121.4238,30.26,33,0,1.54,US,1728236178
55,huilong,31.8111,121.655,19.08,88,100,7.02,CN,1728236178
56,akjoujt,19.6969,-14.4164,39.29,12,40,6.22,MR,1728236178
57,stanley,54.868,-1.6985,13.07,84,20,1.03,GB,1728236178
58,alofi,-19.0595,-169.9187,19.94,88,85,2.06,NU,1728236178
59,puri,19.8,85.85,27.69,77,33,2.55,IN,1728236179
60,kiunga,-6.1219,141.2906,23.02,99,100,0.48,PG,1728236179
61,college,64.8569,-147.8028,0.81,87,75,0.0,US,1728236179
62,bonanza,14.0289,-84.591,33.74,42,37,1.82,NI,1728236179
63,buka,40.8108,69.1986,19.0,38,71,3.09,UZ,1728236180
64,posadas,-27.3671,-55.8961,27.99,65,100,2.57,AR,1728236180
65,grand-bassam,5.2118,-3.7388,24.98,89,99,4.3,CI,1728236180
66,sturgis,41.7992,-85.4192,24.82,28,0,5.14,US,1728236180
67,north bend,43.4065,-124.2243,14.53,100,100,0.0,US,1728236180
68,yuzhno-kurilsk,44.0306,145.8556,14.18,88,100,3.28,RU,1728236180
69,papatowai,-46.5619,169.4708,9.26,90,97,1.74,NZ,1728236180
70,klyuchi,52.2667,79.1667,12.35,38,96,4.53,RU,1728236181
71,urengoy,65.9667,78.3667,1.95,98,100,6.08,RU,1728236181
72,ilulissat,69.2167,-51.1,4.01,60,75,1.54,GL,1728236181
73,ouarzazat,30.9189,-6.8934,20.16,64,75,10.8,MA,1728236181
74,tura,25.5198,90.2201,23.0,89,48,1.48,IN,1728236181
75,howard springs,-12.497,131.047,27.95,88,77,1.49,AU,1728236182
76,kone,-21.0595,164.8658,18.32,95,0,2.1,NC,1728236182
77,oudtshoorn,-33.5907,22.2014,22.75,60,91,2.64,ZA,1728236182
78,guane,22.2025,-84.0875,29.43,72,92,3.78,CU,1728236182
79,dunedin,-45.8742,170.5036,8.78,99,82,1.39,NZ,1728236182
80,tiksi,71.6872,128.8694,-8.0,97,99,2.2,RU,1728236182
81,dzhangala,49.2167,50.3333,17.78,29,45,3.79,KZ,1728236183
82,villa gesell,-37.2639,-56.973,13.31,71,38,7.8,AR,1728236183
83,tomsk,58.5,82.5,6.99,73,100,3.45,RU,1728236183
84,fortuna,40.5982,-124.1573,19.51,55,0,3.09,US,1728236183
85,hotan,37.0997,79.9269,16.96,25,57,3.19,CN,1728236183
86,loukhi,66.0764,33.0381,1.49,93,100,2.14,RU,1728236183
87,itapecerica,-20.4725,-45.1256,33.19,19,0,4.56,BR,1728236184
88,nueva palmira,-33.8833,-58.4167,25.21,35,97,5.73,UY,1728235994
89,albany,42.6001,-73.9662,20.91,53,38,1.34,US,1728236139
90,chos malal,-37.3781,-70.2709,22.84,30,37,3.95,AR,1728236184
91,new norfolk,-42.7826,147.0587,14.4,82,93,4.9,AU,1728236184
92,longyearbyen,78.2186,15.6401,-2.09,86,75,3.6,SJ,1728236184
93,uturoa,-16.7333,-151.4333,25.02,72,32,10.53,PF,1728236184
94,nuuk,64.1835,-51.7216,5.34,65,40,0.51,GL,1728236185
95,atafu village,-8.5421,-172.5159,27.78,76,73,4.3,TK,1728236185
96,gazojak,41.1875,61.4036,17.93,18,0,4.38,TM,1728236185
97,port lincoln,-34.7333,135.8667,13.71,90,73,3.68,AU,1728236185
98,gaoyou,32.7858,119.4278,16.08,93,100,5.83,CN,1728236185
99,queenstown,-31.8976,26.8753,21.99,18,26,2.67,ZA,1728236185
100,vorgashor,67.5833,63.95,-2.05,97,98,4.42,RU,1728236185
101,kodiak,57.79,-152.4072,8.73,87,100,11.32,US,1728236186
102,cole harbour,44.6724,-63.4751,16.71,85,93,5.14,CA,1728236186
103,anadyr,64.75,177.4833,-1.72,79,20,7.0,RU,1728236186
104,namibe,-15.1961,12.1522,19.29,84,16,4.09,AO,1728236186
105,udachny,66.4167,112.4,-2.51,96,100,5.94,RU,1728236186
106,porvoo,60.3923,25.6651,10.19,91,38,4.04,FI,1728236186
107,bochum,51.4833,7.2167,12.64,73,81,1.34,DE,1728236186
108,naze,28.3667,129.4833,22.51,81,18,1.25,JP,1728236187
109,kenitra,34.261,-6.5802,23.42,73,52,4.07,MA,1728236187
110,bijie,27.3125,105.2942,10.19,92,100,1.04,CN,1728236187
111,nogliki,51.8333,143.1667,2.23,87,2,3.41,RU,1728236187
112,east london,-33.0153,27.9116,19.52,88,100,3.6,ZA,1728236187
113,la junta,37.985,-103.5438,19.54,24,0,5.14,US,1728236187
114,marsh harbour,26.5412,-77.0636,27.92,58,87,4.99,BS,1728236187
115,pisco,-13.7,-76.2167,20.03,77,40,4.63,PE,1728235965
116,varennes-vauzelles,47.0168,3.1404,17.72,82,100,2.06,FR,1728236188
117,nouadhibou,20.931,-17.0347,21.99,78,21,8.23,MR,1728236188
118,xianshuigu,38.985,117.3828,14.0,77,100,3.0,CN,1728236188
119,kapuskasing,49.4169,-82.4331,11.0,87,100,9.26,CA,1728236188
120,polyarnyy,69.1989,33.4478,1.61,78,49,2.68,RU,1728236188
121,carnarvon,-24.8667,113.6333,19.46,87,0,5.19,AU,1728236188
122,puerto lleras,3.0223,-73.4044,32.56,46,93,1.91,CO,1728236189
123,hithadhoo,-0.6,73.0833,27.5,75,100,8.62,MV,1728235967
124,avarua,-21.2078,-159.775,22.03,64,40,4.12,CK,1728236189
